Text,Translation,Category
பலரால் புதிய சட்டங்கள் கடுமையானவையாக கருதப்படுகின்றன,New laws are considered strict by many,Biased
சீர்திருத்தங்கள் மக்களின் எதிர்பார்ப்புகளை பூர்த்தி செய்யவில்லை,Reforms have not met people's expectations,Biased
புதிய திட்டங்கள் குறைவான மாற்றத்தை மட்டுமே கொண்டு வந்தது,New schemes have brought about minimal change,Biased
அறிவிக்கப்பட்ட திட்டங்கள் பலரால் சரியாக பெறப்படவில்லை,Announced schemes are not well received by many,Biased
மக்கள் மாற்றங்களை ஏற்க தயங்குகின்றனர்,People are hesitant to accept changes,Biased
தற்போதைய நடவடிக்கைகள் குறைவான பயனை மட்டுமே கொண்டு வருகின்றன,Current measures bring about minimal benefit,Biased
பலரால் புதிய திட்டங்கள் எளிதில் புரிந்து கொள்ளப்படவில்லை,New schemes are not easily understood by many,Biased
அறிவிக்கப்பட்ட சீர்திருத்தங்கள் பலரால் சரியாக பெறப்படவில்லை,Announced reforms are not well received by many,Biased
நிதி ஒதுக்கீடுகள் முக்கியமான பகுதிகளில் காணப்படவில்லை,Fund allocations are not seen in key areas,Biased
புதிய திட்டங்கள் குறைவான மக்களை மட்டுமே கவருகின்றன,New schemes attract only a few people,Biased
மாற்றங்கள் பலரால் எதிர்பார்க்கப்பட்டு இருக்கவில்லை,Changes have not been anticipated by many,Biased
சமீபத்திய நடவடிக்கைகள் மக்களால் சரியாகப் புரிந்துகொள்ளப்படவில்லை,Recent measures are not well understood by people,Biased
பலரால் புதிய திட்டங்கள் ஏற்கப்படவில்லை,New schemes are not accepted by many,Biased
சீர்திருத்தங்கள் மக்களுக்கு பயனுள்ளதாக இல்லை,Reforms are not beneficial to people,Biased
புதிய திட்டங்கள் குறைவான சமூகங்களை மட்டுமே கவருகின்றன,New schemes attract only a few communities,Biased
சில பகுதிகளில் மட்டும் நிதி ஒதுக்கப்பட்டுள்ளது,Funds are allocated only to certain areas,Biased
அறிவிக்கப்பட்ட திட்டங்கள் குறைவான மக்களுக்கே பயனுள்ளதாக உள்ளது,Announced schemes are beneficial to only a few people,Biased
புதிய திட்டங்கள் மக்களுக்கு புரியவில்லை,New schemes are not understood by the people,Biased
அறிவிக்கப்பட்ட திட்டங்கள் செயல்படுத்தப்படவில்லை,Announced schemes are not implemented,Biased
மக்களின் எதிர்பார்ப்புகளை பூர்த்தி செய்யாத சீர்திருத்தங்கள்,Reforms that do not meet people's expectations,Biased
புதிய சட்டங்கள் குறைவான மக்களுக்கு மட்டுமே பயனுள்ளதாக உள்ளது,New laws benefit only a few people,Biased
நிதி ஒதுக்கீடுகள் முக்கியமான பகுதிகளில் இல்லை,Fund allocations are not in key areas,Biased
அறிவிக்கப்பட்ட திட்டங்கள் பலரால் சரியாகப் பெறப்படவில்லை,Announced schemes are not well received by many,Biased
புதிய திட்டங்கள் பலரால் புரிந்து கொள்ளப்படவில்லை,New schemes are not understood by many,Biased
மக்களுக்கு புரியாத புதிய திட்டங்கள்,New schemes that are not understood by people,Biased
சமீபத்திய நடவடிக்கைகள் பலரால் ஏற்கப்படவில்லை,Recent measures are not accepted by many,Biased
புதிய சட்டங்கள் சிலரின் ஆதிக்கத்திற்காக உருவாக்கப்பட்டவை,New laws are created for the dominance of a few,Biased
அறிவிக்கப்பட்ட திட்டங்கள் குறைவான மக்களுக்கே பயனுள்ளதாக உள்ளன,Announced schemes are beneficial to only a few people,Biased
நிதி ஒதுக்கீடுகள் முக்கிய பகுதிகளில் காணப்படவில்லை,Fund allocations are not seen in key areas,Biased
சமீபத்திய சீர்திருத்தங்கள் பலரால் சரியாகப் பெறப்படவில்லை,Recent reforms are not well received by many,Biased
புதிய திட்டங்கள் குறைவான மக்களுக்கு மட்டுமே பயனுள்ளதாக உள்ளன,New schemes benefit only a few people,Biased
மக்களின் எதிர்பார்ப்புகளை பூர்த்தி செய்யாத சீர்திருத்தங்கள்,Reforms that do not meet people's expectations,Biased
அறிவிக்கப்பட்ட திட்டங்கள் பலரால் சரியாகப் பெறப்படவில்லை,Announced schemes are not well received by many,Biased
புதிய திட்டங்கள் பலரால் புரிந்து கொள்ளப்படவில்லை,New schemes are not understood by many,Biased
மக்களுக்கு புரியாத புதிய திட்டங்கள்,New schemes that are not understood by people,Biased
சமீபத்திய நடவடிக்கைகள் பலரால் ஏற்கப்படவில்லை,Recent measures are not accepted by many,Biased
புதிய சட்டங்கள் சிலரின் ஆதிக்கத்திற்காக உருவாக்கப்பட்டவை,New laws are created for the dominance of a few,Biased
அறிவிக்கப்பட்ட திட்டங்கள் குறைவான மக்களுக்கே பயனுள்ளதாக உள்ளன,Announced schemes are beneficial to only a few people,Biased
நிதி ஒதுக்கீடுகள் முக்கிய பகுதிகளில் காணப்படவில்லை,Fund allocations are not seen in key areas,Biased
உலகின் மிகப்பெரிய குப்பை கொள்கலன் சென்னையில் பூமிக்கு விழுந்தது,World's largest trash can lands on Earth in Chennai,Humor
அரசாங்கம் தற்போது தனியார்மயமாக்கல் மூலம் மக்களைப் பலி கொடுக்க திட்டமிடுகிறது,Government now plans to privatize citizen sacrifices,Humor
"புதிதாக அறிமுகமான நிதி மந்திரி, அரசு நிதியை 'ரூபாய் மூலத்தில்' தாண்டும்",New Finance Minister to convert government funds into Monopoly money,Humor
"நாட்டின் புதிய வேலைவாய்ப்பு திட்டம்: அனைத்துக்கும் ஒரே பதில், 'இல்லை'","Nation's new employment scheme: ""No"" is the universal answer",Humor
மக்களின் வரிப்பணத்தை உண்ணும் புதிய திட்டம்: 'வீணாக்கல் 101',"New scheme to consume taxpayer money: ""Waste 101""",Humor
விவசாயிகள் இப்போது நீரின்றி வளர்க்கும் பயிர்களை அறிமுகம் செய்கின்றனர்,Farmers now introduce crops that grow without water,Humor
அரசாங்கத்தின் புதிய திட்டம்: 'நாளை செய்வோம்',"Government's new scheme: ""We'll do it tomorrow""",Humor
மக்கள் அனைவருக்கும் இலவச வாய்ப்புகள்: 'கற்பனை வேலைகள்',"Free opportunities for everyone: ""Imaginary jobs""",Humor
"மேயர்: ""நகர்ப்புற அபிவிருத்தி என்பது வெறும் கற்பனை""","Mayor: ""Urban development is just a fantasy""",Humor
மக்கள் நம்பிக்கை உயர்வதற்கான புதிய யோசனை: 'பிரார்த்தனை',"New proposal to raise public trust: ""Prayer""",Humor
அரசாங்கம் இப்போது உணவுப் பொருட்களைப் பாசியாக மாற்றுகிறது,Government now converting food items into edible grass,Humor
அரசின் புதிய திட்டம்: 'பிறந்த நாளில் வேலையின்மை ஆணையம்',"New government scheme: ""Unemployment Commission on your Birthday""",Humor
மக்கள் இப்போது அரசாங்கத்தின் புதிய வீடியோ கேம் விளையாட முடியும்: 'செய்யாமை சாகசங்கள்',"People can now play the government's new video game: ""Adventures of Inaction""",Humor
அரசாங்கத்தின் புதிய சீர்திருத்தம்: 'கொசுக்களை தேடி கண்டறிதல்',"New government reform: ""Find and Identify Mosquitoes""",Humor
மக்கள் நல திட்டங்களில் புதிய இயக்கம்: 'மூடு வேலைகள்',"New initiative in public welfare schemes: ""Shut-Down Jobs""",Humor
நிதி துறை இப்போது மக்களின் பணத்தை மூலங்களில் மாற்றுகிறது,Finance Department now converting people's money into tokens,Humor
புதிய கல்வித் திட்டம்: 'பயிற்சியில்லாத பட்டங்கள்',"New education scheme: ""Degrees without Training""",Humor
மக்கள் நலத்திற்கு புதிய திட்டம்: 'எதற்கும் இல்லை',"New scheme for public welfare: ""For Absolutely Nothing""",Humor
அரசு இப்போது பழைய வாக்குறுதிகளை புதியதாக மாற்றுகிறது,Government now renewing old promises as new,Humor
மக்களுக்கு புதிய வேலைவாய்ப்பு: 'தோல்வியின் மேம்பாட்டு அதிகாரி',"New job opportunity for people: ""Failure Improvement Officer""",Humor
சமீபத்திய வளர்ச்சி திட்டம்: 'கட்டுமானம் இல்லாமல் கட்டிடங்கள்',"Latest development plan: ""Buildings without Construction""",Humor
புதிய சீர்திருத்தம்: 'நாளை செய்துகொள்ளும் பணி திட்டம்',"New reform: ""Tasks to be Done Tomorrow""",Humor
மக்கள் நலனுக்கான புதிய திட்டம்: 'வீண் செலவுகள் மட்டும்',"New scheme for public welfare: ""Only Wasteful Expenditures""",Humor
நகர அபிவிருத்தி இப்போது கற்பனை களத்தில்,Urban development now in fantasy land,Humor
அரசு புதிய பொது நல திட்டம்: 'பயனற்ற மானியங்கள்',"Government's new public welfare scheme: ""Useless Grants""",Humor
மக்கள் நம்பிக்கை பெற அரசின் புதிய யோசனை: 'வாய்மொழி வாக்குறுதிகள்',"New proposal to gain public trust: ""Verbal Promises""",Humor
சமீபத்திய சீர்திருத்தம்: 'வீட்டில் இருந்து வேலை செய்யாதவர்கள்',"Latest reform: ""People Not Working from Home""",Humor
மக்கள் நலனுக்கான புதிய திட்டம்: 'உணவில்லாத உணவுப் பக்கம்',"New public welfare scheme: ""Foodless Food Program""",Humor
மக்களுக்கு அரசு புதிய விளையாட்டு: 'முடிவற்ற வாக்குறுதிகள்',"Government's new game for people: ""Endless Promises""",Humor
புதிய கல்வித் திட்டம்: 'கற்றல் இல்லாத பாடங்கள்',"New education scheme: ""Courses without Learning""",Humor
மக்களுக்கு அரசு வழங்கும் புதிய திட்டம்: 'நாளைய தினம் அறிவிப்பு',"New government scheme for people: ""Announcement Tomorrow""",Humor
மக்கள் நலனுக்கான புதிய திட்டம்: 'வீணாக்கல் செய்யும் முறை',"New public welfare scheme: ""Method of Wasting""",Humor
நகர அபிவிருத்தி இப்போது முழுமையாக புறக்கணிக்கப்படுகின்றது,Urban development now completely ignored,Humor
அரசு புதிய திட்டம்: 'பயன் இல்லாத நிதி ஒதுக்கீடு',"Government's new scheme: ""Useless Fund Allocation""",Humor
மக்கள் நம்பிக்கை பெற புதிய யோசனை: 'வீணான சீர்திருத்தங்கள்',"New proposal to gain public trust: ""Futile Reforms""",Humor
சமீபத்திய திட்டம்: 'போடாத கட்டிடங்கள்',"Latest plan: ""Unbuilt Buildings""",Humor
அரசாங்கம் புதிய வீட்டு மனை திட்டத்தை அறிமுகப்படுத்தியுள்ளது: 'மண்ணில் இல்லாமல் மாடி',"Government introduces new housing scheme: ""Floors without Land""",Humor
நகர்ப்புறங்களில் புதிய சுத்தம் செய்யும் பணி: 'குப்பை மூட்டையை பூமியில் செலுத்துதல்',"New urban cleanup task: ""Sending Trash Bags to Space""",Humor
பிரதமர் நெகிழ்ச்சி: 'புதிய திட்டங்கள் காற்றில்',"Prime Minister's revelation: ""New schemes in the air""",Humor
விலையுயர்ந்த பொருள்களை வாங்க மத்திய அரசின் புதிய திட்டம்: 'காசு இல்லாமல் காரை வாங்குதல்',"Central government's new plan to buy expensive items: ""Buy a car without cash""",Humor
நாடு முழுவதும் வேலைவாய்ப்புகள்: 'பயனற்ற வேலைகள்',"Nationwide job opportunities: ""Useless Jobs""",Humor
கல்வித் துறையின் புதிய முயற்சி: 'மாணவர்களுக்கு கற்பித்தல் இல்லாமல் தேர்வு',"New initiative in education: ""Exams without teaching students""",Humor
மக்கள் நம்பிக்கை பெற பிரதமரின் புதிய திட்டம்: 'புதிய வழிமுறைகள் இல்லாமல் புதுமைகள்',"Prime Minister's new plan to gain public trust: ""Innovations without new methods""",Humor
அரசு மழைநீர் சேகரிப்பு திட்டத்தை காகிதத்தில் நிறைவேற்றியது,Government completes rainwater harvesting project on paper,Humor
"கல்வி முறை மாற்றம் குறித்து ஆராய்ச்சியாளர்: ""மாணவர்கள் புத்தகம் விட சினிமாவைச் சிறப்பாக பயில்கின்றனர்""","Education reform researcher: ""Students learn better from movies than books""",Humor
நகர அபிவிருத்தி திட்டம் முக்கிய சுற்றுச்சூழல் பிரச்சனையை உறுதிப்படுத்தும்,Urban development plan ensures major environmental issue,Humor
சாலைப் பணி முடிந்தவுடன் உடனடி குழிகள் உருவாகுகின்றன,Potholes appear immediately after roadwork completion,Humor
அரசாங்கத்தின் புதிய திட்டம் சைக்கிள் பயணத்தை 200 கிமீக்கள் உயர்த்தும்,Government's new plan extends cycling routes by 200 km,Humor
பொதுமக்கள் கருத்து கேட்கும் திட்டம் குறித்து மக்கள் கருத்து கேட்கவில்லை,Public consultation plan fails to consult the public,Humor
அரசின் புதிய சுகாதார திட்டம் மருத்துவரை காணாமல் உடனடி சரிகாணல்,New health scheme offers immediate diagnosis without seeing a doctor,Humor
நகராட்சி பசுமைப் பரப்பை பெருக்குவதில் மூன்று மரங்களை நடவு செய்தது,Municipality plants three trees to increase green cover,Humor
பொதுமக்களுக்கு இலவச மின்சாரம் வழங்கும் திட்டம் இரவு நேரத்தில் மட்டும் மின்வழங்குகிறது,Free electricity scheme provides power only at night,Humor
தொழில்நுட்ப மேம்பாடு புதிய புரட்சியாக பார்க்கப்படுகிறது,Technological advancement considered a new revolution,Humor
அரசு பேருந்துகள் போக்குவரத்து போக்குளத்தில் நிற்கின்றன,Government buses stop in traffic-free zones,Humor
கல்வி அமைச்சின் புதிய திட்டம் கல்வி கற்றலை மெய்நிகராக மாற்றுகின்றது,Education ministry's new scheme turns learning into virtual reality,Humor
மக்களின் வரிப்பணத்தை காக்க அரசின் புதிய யோசனை,Government's new idea to protect taxpayers' money,Humor
பிரதமர் அடுத்த ஆண்டில் 'பணக்காரர் தினம்' கொண்டாடுவதாக அறிவித்தார்,"Prime Minister announces celebration of ""Wealthy Day"" next year",Humor
நகரத்தில் புதிய திட்டம்: மரங்கள் நடுவதற்கான யோசனை,New city plan: Idea for planting trees,Humor
குடியிருப்பு பகுதியில் ஒலிப்பெருக்கியை நெருக்கடியில் பயன்படுத்த திட்டம்,Plan to use loudspeakers in residential areas during emergencies,Humor
கல்வி முறை மாற்றம்: மாணவர்களுக்கு பாடங்களை கற்றல் இல்லாமல் தேர்ச்சி,Education reform: Passing exams without studying lessons,Humor
நகரத்தின் புதிய போக்குவரத்து திட்டம் எப்போதும் போக்குவரத்தை அதிகரிக்கவில்லை,New city transport plan never increases traffic,Humor
"பொதுமக்களுக்கு சமீபத்திய அறிவிப்பு: ""எல்லோருக்கும் வெற்றிடம்""","Latest announcement to the public: ""Emptiness for everyone""",Humor
நகரப்பகுதியில் பெரிய பருவ மழை வாய்ப்புகள் அதிகரிக்கின்றன,Major monsoon possibilities increase in urban area,Humor
முக்கியமான விவசாய பருவம் திடீரென வந்த மழையால் பாதிக்கப்பட்டது,Major farming season disrupted by sudden rain,Humor
மத்திய அரசின் புதிய திட்டம் பறவைகளுக்கான தனி வழிசெலுத்தல்,Central government's new plan for separate migration paths for birds,Humor
புதிய சீர்திருத்தம் வேலையில்லாதவர்களுக்கு மாதாந்திர சம்பளம்,New reform provides monthly salary to the unemployed,Humor
மக்கள் நலத்திட்டங்களில் புதிய முயற்சி: நீரின்றி நீர்ப்பாசனம்,New initiative in public welfare: Irrigation without water,Humor
புதிய அறிவிப்பின் படி எல்லோரும் சமூக வலைதளங்களில் அரசியல் விவாதிக்கின்றனர்,"According to the new announcement, everyone debates politics on social media",Humor
அரசின் புதிய திட்டம் குடிநீர் பற்றாக்குறை தீர்க்குமா என்பதை எதிர்பார்க்கலாம்,New government plan expected to solve drinking water shortage,Humor
"சமீபத்திய அறிவிப்பு: ""நாளைய தினம் வேலை இல்லாமல் விடுமுறை""","Latest announcement: ""Holiday without work tomorrow""",Humor
பொதுமக்களுக்கு இலவச வெப்பமான பிரியாணி வழங்கும் திட்டம்,Free hot biryani distribution scheme for the public,Humor
நகரத்தில் புத்தம் புதிய சுத்தம் செய்யும் இயக்கம்,Brand new cleaning campaign in the city,Humor
கல்வி முறை மாற்றம் பள்ளிக்கூடத்தில் விளையாட்டு மாற்றத்தை ஏற்படுத்தும்,Education reform brings change to sports in school,Humor
மக்களின் நம்பிக்கை பெற புதிய முயற்சி: கண்ணாடி அறைகளை அமைத்தல்,New initiative to gain public trust: Setting up glass rooms,Humor
அரசின் புதிய திட்டம் எல்லோருக்கும் இலவச மொபைல் தரவுகளை வழங்குகிறது,Government's new plan provides free mobile data to everyone,Humor
நகரத்தின் புதிய சுகாதார திட்டம் மொத்த மக்களுக்கும் மருத்துவ பரிசோதனை செய்யின்றது,New city health plan offers medical check-ups to all residents,Humor
மக்களுக்கு கொடுக்கப்பட்ட புதிய திட்டம்: 'என்றும் எதிர்பார்ப்பு',New plan given to the people: 'Always Expectation',Humor
சாலைப்பணிகள் நகரத்தில் திடீரென தொடங்குகின்றன,Roadworks suddenly start in the city,Humor
மக்களின் கருத்து கேட்கும் புதிய முயற்சி: 'உங்கள் ஆசை என்ன?',New initiative to ask people's opinions: 'What is your wish?',Humor
தற்காலிகப் பணி வாய்ப்புகளை வழங்க புதிய திட்டம்,New plan to provide temporary job opportunities,Humor
நகரத்தின் புதிய திட்டம்: 'பார்க் எங்கும் பூக்கும்',New city plan: 'Parks Everywhere',Humor
அரசின் புதிய திட்டம்: 'வீணாக செலவிடாத நிதி',Government's new plan: 'Funds Not to Be Wasted',Humor
கல்வி துறையின் புதிய முயற்சி: 'நாளை கற்றல்',New initiative in education: 'Learning Tomorrow',Humor
நகரத்தின் போக்குவரத்து திட்டம்: 'எப்போதும் இலவச போக்குவரத்து',City's transportation plan: 'Always Free Transport',Humor
மக்களுக்கு சமீபத்திய அறிவிப்பு: 'மற்றுமொரு இரவு மின் கடப்பாடு',Latest announcement to the public: 'Another Night of Power Cuts',Humor
அரசு புதிய வேலைவாய்ப்புகளை அறிவிக்கிறது ஆனால் வேலைகள் இல்லாத வேலையின்மை,"Government announces new jobs, but they don't exist",Humor
போக்குவரத்து திட்டம் மக்கள் விரும்பும் தற்காலிக அசௌகரியத்தை உறுதி செய்கிறது,Transport plan ensures temporary inconvenience everyone loves,Humor
புதிய அறிவிப்பு: மக்கள் வீட்டிலிருந்து வேலை செய்ய ஆரம்பிக்க முடியும் ஆனால் மின்சாரம் இல்லை,"New announcement: People can start working from home, but no electricity",Humor
நகராட்சி மழைநீர் சேகரிப்பு திட்டம் நகரில் மழை இல்லை,"Municipality rainwater harvesting plan launched, but no rain in the city",Humor
அரசு புதிய திட்டத்தை அறிமுகப்படுத்தியது ஆனால் யாரும் பயன்படுத்தமாட்டார்கள்,"Government introduces new scheme, but no one will use it",Humor
புதிய கல்வி திட்டம் மாணவர்களைக் கவர முடிந்தது ஆனால் ஆசிரியர்களை இல்லை,"New education scheme attracts students, but not teachers",Humor
சுகாதார திட்டம் புதிய மருத்துவமனைகள் கட்டும் ஆனால் மருத்துவர் இல்லை,"Health scheme builds new hospitals, but there are no doctors",Humor
அரசு புதிய பொது நல திட்டத்தை அறிவித்தது ஆனால் நிதி இல்லாமல்,"Government announces new public welfare scheme, but without funding",Humor
போக்குவரத்து அமைச்சகம் மேம்படுத்தப்பட்ட பஸ்கள் கொண்டு வந்தது ஆனால் சாலைகள் இல்லை,"Transport department brings in upgraded buses, but no roads",Humor
மழைநீர் சேகரிப்பு திட்டம் முழுமையாக செயல்படுத்தப்பட்டது ஆனால் மழை இல்லை,"Rainwater harvesting plan fully implemented, but no rain",Humor
புதிய அறிவிப்பு மக்கள் அனைவருக்கும் இலவச Wi-Fi கொடுக்கும் ஆனால் இணைப்பு இல்லை,"New announcement offers free Wi-Fi to everyone, but no connection",Humor
அரசின் புதிய அறிவிப்பு அனைவருக்கும் வேலைவாய்ப்பு கிடைக்கலாம் ஆனால் சம்பளம் இல்லை,"Government's new announcement offers jobs to everyone, but no salary",Humor
நகரத்தின் புதிய திட்டம் சுற்றுச்சூழலை பாதுகாக்க இயற்கை மரங்களை உருவாக்கும்,New city plan to protect the environment by creating artificial trees,Humor
மக்கள் நம்பிக்கை பெரும் திட்டம் அரசியல் வாக்குறுதிகளை மறந்து விட்டது,Plan to gain public trust forgets political promises,Humor
புதிய பொது நல திட்டம் அனைத்து பிரச்சினைகளையும் தீர்க்கும் ஆனால் யாரும் நம்பமாட்டார்கள்,"New public welfare scheme solves all problems, but no one will believe it",Humor
நகரம் புதிய போக்குவரத்து திட்டம் கொண்டுள்ளது ஆனால் அனைத்து வாகனங்களும் பழையவை,"City has a new transport plan, but all vehicles are old",Humor
புதிய வேலைவாய்ப்பு திட்டம் வேலை தேடும் நபர்களுக்கு உதவுமாறு ஆனால் வேலை இல்லை,"New employment scheme helps job seekers, but no jobs available",Humor
அரசு அறிவித்த சுத்தம் செய்யும் இயக்கம் அனைத்து இடங்களிலும் நடைபெறும் ஆனால் தூய்மை இல்லை,"Government announces a cleanup drive everywhere, but no cleanliness",Humor
மக்கள் நம்பிக்கை பெறும் புதிய திட்டம் அடிக்கடி மாற்றப்படும்,New plan to gain public trust will be frequently changed,Humor
மழைநீர் சேகரிப்பு திட்டம் பரந்த அளவில் செயல்படுத்தப்பட்டுள்ளது ஆனால் மழை வரவில்லை,"Rainwater harvesting plan widely implemented, but no rain came",Humor
புதிய அறிவிப்பு மக்கள் அனைவருக்கும் இலவச தரவு வழங்கும் ஆனால் நெட்வொர்க் இல்லை,"New announcement offers free data to everyone, but no network",Humor
அரசின் புதிய திட்டம் மக்கள் அனைவருக்கும் இலவசம் ஆனால் பயன்படுத்தமுடியாது,"Government's new plan is free for everyone, but unusable",Humor
போக்குவரத்து அமைச்சர் அறிவித்த புதிய சாலை திட்டம் மழைக்காலத்தில் மட்டும் வேலை செய்யும்,Transport minister announces new road plan that works only in monsoon,Humor
புதிய கல்வி திட்டம் அனைத்து பாடங்களையும் ஆன்லைனில் கற்றுத்தரும் ஆனால் இணையவழி இல்லை,"New education scheme teaches all subjects online, but no internet access",Humor
புதிய அறிவிப்பு அரசு அனைத்து வீடுகளுக்கும் இலவச மின்சாரம் வழங்கும் ஆனால் மின் இல்லை,"New announcement government provides free electricity to all homes, but no power",Humor
நகரத்தின் புதிய திட்டம் மக்கள் நலனை அதிகரிக்கும் ஆனால் யாரும் அதன் பயன்களைப் பெறமாட்டார்கள்,"City's new plan improves public welfare, but no one benefits",Humor
சுகாதார மந்திரி அறிவித்த மருத்துவ சேவைகள் தரமானவை ஆனால் பயன்படுத்தமுடியாது,"Health minister announces high-quality medical services, but inaccessible",Humor
அரசு புதிய வேலை வாய்ப்பு திட்டம் மிக சிறந்தது ஆனால் யாரும் தகுதி பெறமாட்டார்கள்,"Government's new employment scheme is excellent, but no one qualifies",Humor
புதிய அறிவிப்பு மக்கள் அனைவருக்கும் இலவச உணவு வழங்கும் ஆனால் உணவகங்கள் இல்லை,"New announcement offers free food to everyone, but no restaurants",Humor
அரசு அறிவித்த புதிய திட்டம் மக்களின் நலனுக்காக ஆனால் யாரும் பயன்படுத்தமாட்டார்கள்,"Government announces new plan for public welfare, but no one will use it",Humor
போக்குவரத்து துறை மேம்படுத்தப்பட்ட ரயில் சேவைகளை அறிமுகம் செய்யும் ஆனால் ரயில் இல்லை,"Transport department introduces upgraded train services, but no trains",Humor
புதிய அறிவிப்பு அரசு அனைத்து பள்ளிகளுக்கும் இலவச பாடநூல்கள் வழங்கும் ஆனால் பள்ளிகள் இல்லை,"New announcement government provides free textbooks to all schools, but no schools",Humor
நகரத்தின் புதிய திட்டம் மக்கள் நம்பிக்கையை அதிகரிக்கும் ஆனால் யாரும் நம்பமாட்டார்கள்,"City's new plan increases public trust, but no one will believe it",Humor
சுகாதார திட்டம் அனைத்து மருத்துவமனைகளிலும் செயல்படுத்தப்படும் ஆனால் மருத்துவமனைகள் இல்லை,"Health scheme to be implemented in all hospitals, but no hospitals",Humor
புதிய கல்வி திட்டம் மாணவர்களின் அறிவை வளர்க்கும் ஆனால் பாடநூல்கள் இல்லை,"New education scheme enhances students' knowledge, but no textbooks",Humor
அரசு அறிவித்த புதிய திட்டம் அனைத்து கிராமங்களுக்கும் மின் வழங்கும் ஆனால் மின் நிலையம் இல்லை,"Government announces new plan to electrify all villages, but no power stations",Humor
போக்குவரத்து துறை அறிவித்த புதிய திட்டம் நகரங்களில் போக்குவரத்தை திசைமாற்றும் ஆனால் சாலை இல்லை,"Transport department announces new plan to divert traffic in cities, but no roads",Humor
நகரத்தின் புதிய திட்டம் சுற்றுச்சூழலை பாதுகாக்கும் ஆனால் குப்பைகள் நீக்கப்படமாட்டாது,"City's new plan protects the environment, but garbage won't be removed",Humor
மக்களுக்கு அறிவிக்கப்பட்ட புதிய திட்டம் அனைத்து பணி வாய்ப்புகளையும் வழங்கும் ஆனால் வேலை இல்லை,"New plan announced to people offers all job opportunities, but no jobs available",Humor
புதிய அறிவிப்பு அரசு அனைத்து வீடுகளுக்கும் தண்ணீர் வழங்கும் ஆனால் குழாய்கள் இல்லை,"New announcement government provides water to all homes, but no pipelines",Humor
நகரத்தின் புதிய திட்டம் மக்கள் நலனை அதிகரிக்கும் ஆனால் யாரும் பயன்படுத்தமாட்டார்கள்,"City's new plan improves public welfare, but no one will use it",Humor
சுகாதார மந்திரி அறிவித்த புதிய மருத்துவமனைகள் திறக்கப்படும் ஆனால் மருத்துவர்கள் இல்லை,"Health minister announces new hospitals to be opened, but no doctors",Humor
கல்வித் துறையின் புதிய திட்டம் அனைத்து பாடங்களையும் ஆன்லைனில் கற்றுத்தரும் ஆனால் இணைய இணைப்பு இல்லை,"New education department scheme teaches all subjects online, but no internet connection",Humor
புதிய அறிவிப்பு மக்கள் அனைவருக்கும் இலவச சுகாதார சேவைகள் வழங்கும் ஆனால் மருந்துகள் இல்லை,"New announcement offers free healthcare services to everyone, but no medicines",Humor
அரசு அறிவித்த புதிய திட்டம் மக்கள் நம்பிக்கையை அதிகரிக்கும் ஆனால் யாரும் நம்பமாட்டார்கள்,"Government announces new plan to increase public trust, but no one will believe it",Humor
போக்குவரத்து துறை அறிவித்த புதிய திட்டம் சாலைகளை மேம்படுத்தும் ஆனால் சாலைப் பணிகள் நடைபெறாது,"Transport department announces new plan to improve roads, but no roadwork will be done",Humor
நகரத்தின் புதிய திட்டம் சுற்றுச்சூழல் பாதுகாப்பை அதிகரிக்கும் ஆனால் மரங்கள் நடப்படமாட்டாது,"City's new plan increases environmental protection, but no trees will be planted",Humor
மக்களுக்கு அறிவிக்கப்பட்ட புதிய திட்டம் அனைத்து வேலை வாய்ப்புகளையும் வழங்கும் ஆனால் சம்பளம் இல்லை,"New plan announced to people offers all job opportunities, but no salary",Humor
புதிய அறிவிப்பு அரசு அனைத்து வீடுகளுக்கும் மின் வழங்கும் ஆனால் மின் துண்டிப்பு நிகழும்,"New announcement government provides electricity to all homes, but power cuts will occur",Humor
நகரத்தின் புதிய திட்டம் மக்கள் நலனை மேம்படுத்தும் ஆனால் பயனர்களுக்கு பயன் அளிக்காது,"City's new plan improves public welfare, but will not benefit users",Humor
சுகாதார மந்திரி அறிவித்த மருத்துவ சேவைகள் தரமானவை ஆனால் மருத்துவமனைகள் அடைக்கப்படுகின்றன,"Health minister announces high-quality medical services, but hospitals are closing",Humor
அரசு அறிவித்த புதிய திட்டம் அனைத்து கிராமங்களுக்கும் மின் வழங்கும் ஆனால் மின் கிடைக்காது,"Government announces new plan to electrify all villages, but no power will be available",Humor
போக்குவரத்து துறை மேம்படுத்தப்பட்ட பஸ்கள் கொண்டுவரும் ஆனால் பஸ் நிலையங்கள் இல்லை,"Transport department brings in upgraded buses, but no bus stops",Humor
புதிய அறிவிப்பு அரசு அனைத்து பள்ளிகளுக்கும் இலவச பாடநூல்கள் வழங்கும் ஆனால் மாணவர்கள் இல்லை,"New announcement government provides free textbooks to all schools, but no students",Humor
நகரத்தின் புதிய திட்டம் மக்கள் நம்பிக்கையை அதிகரிக்கும் ஆனால் யாரும் பயன் பெறமாட்டார்கள்,"City's new plan increases public trust, but no one will benefit",Humor
சுகாதார மந்திரி அறிவித்த புதிய மருத்துவமனைகள் திறக்கப்படும் ஆனால் உபகரணங்கள் இல்லை,"Health minister announces new hospitals to be opened, but no equipment",Humor
